retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
lopel001,6,177,34,2,0,0,2,0,5,3,0
loper002,49,1373,423,27,4,3,1,0,29,5,0
lovij102,0,0,0,0,0,0,0,0,0,0,0
lowrd001,63,1846,383,26,2,4,3,0,50,17,0
lucrj001,957,25484,7334,536,59,51,43,0,613,239,0
lucyd001,11,291,93,2,0,1,0,0,13,3,0
luebr101,0,0,26,4,0,1,1,0,0,0,0
lunaf001,67,1852,437,46,5,5,2,0,52,25,0
lundt101,18,555,126,8,1,2,2,0,22,4,0
lunst001,0,24,4,0,1,0,0,0,1,0,0
lutzr102,0,0,0,0,0,0,0,0,0,0,0
lydem001,1,34,4,0,0,0,0,0,1,0,0
lyncj102,2,63,10,2,0,0,0,0,1,1,0
lyncw101,0,0,1,1,0,0,0,0,0,0,0
lynnb101,0,0,114,25,2,5,2,0,0,0,0
lyonb002,139,4080,1090,77,23,8,20,0,175,52,0
lyonr101,0,0,7,3,1,0,0,0,0,0,0
lyons001,0,10,0,0,0,0,0,0,0,0,0
macfm001,932,24941,5597,408,49,75,100,0,546,265,0
machk101,0,18,2,0,0,0,0,0,1,0,0
machm101,0,3,0,0,0,0,0,0,0,0,0
machr001,172,4804,1241,129,13,21,15,0,119,69,0
macke102,0,3,0,0,0,0,0,0,0,0,0
mackg101,5,141,22,3,0,2,0,1,2,0,0
madis001,5,138,27,2,3,0,0,0,5,1,0
madje101,0,0,508,72,18,18,12,0,0,0,0
magrt001,2,102,30,2,0,0,0,0,8,2,0
mahlg101,5,159,24,1,0,0,0,0,6,1,0
mahom001,31,857,195,18,2,2,1,0,8,4,0
maill001,137,3767,1182,90,13,7,13,0,72,33,0
maksm001,0,16,3,1,0,0,0,0,0,0,0
maldc003,20,560,124,8,1,0,1,0,12,4,0
maldm001,498,13371,4172,296,35,28,34,0,187,113,0
maloe101,0,0,265,32,2,5,3,0,0,0,0
mancf101,0,0,1220,136,39,23,23,0,0,0,0
mancg101,0,0,5613,803,148,100,73,0,0,0,0
mangj101,11,300,61,6,1,2,0,2,1,1,0
manic101,0,0,1319,256,44,28,15,0,0,0,0
mannk001,14,374,88,8,0,1,3,0,15,7,0
mantj001,1,48,13,2,0,0,2,0,3,1,0
manwk001,883,23054,4946,489,50,82,56,0,569,311,0
maplh101,0,0,34,5,0,2,0,0,0,0,0
marjm001,10,276,82,5,1,0,0,0,3,1,0
marre001,248,6981,1738,133,24,24,8,0,130,79,0
marsc102,0,0,1,0,0,0,0,0,0,0,0
marsl001,242,6430,1576,121,12,12,12,0,181,83,0
marta002,154,4167,1042,75,14,15,25,0,73,36,0
martb001,845,22026,4038,396,70,59,49,13,464,258,2
martb101,0,0,18,0,0,0,1,0,0,0,0
martj107,461,13656,3135,267,45,36,121,166,212,110,9
martl002,22,616,176,8,0,1,0,0,20,5,0
martm001,4,120,18,5,0,0,1,0,10,2,0
martm102,12,396,78,10,5,0,5,10,3,4,0
martr004,1455,38843,11100,912,87,78,78,0,817,360,0
martv001,828,21603,5375,347,42,43,37,0,596,183,0
marzj001,223,6141,1560,123,20,18,28,0,166,73,0
masip101,0,0,3690,495,72,59,39,0,0,0,0
massg101,4,99,21,0,0,0,1,2,1,0,0
mathj001,738,19448,5416,505,49,41,47,0,413,167,0
mathm001,1142,30158,7117,613,44,85,60,0,552,298,0
matop001,1,42,13,1,0,0,0,0,2,0,0
mattc102,0,0,5,2,1,0,0,0,0,0,0
mattj101,0,0,68,19,2,2,2,0,0,0,0
mauej001,885,23649,5831,323,30,39,40,0,364,181,0
maxwb001,103,2758,758,52,1,9,4,0,64,24,0
may-j101,454,12002,2649,248,29,36,41,69,174,129,6
may-l001,9,243,60,3,0,0,4,0,7,2,0
may-m001,967,25615,5091,589,82,73,62,0,724,407,0
mayew101,0,0,84,33,5,1,3,0,0,0,0
maynb001,996,26674,6186,455,45,59,51,0,651,269,0
mcavw101,0,0,182,73,7,6,2,0,0,0,0
mcbrm002,11,292,81,5,0,0,3,0,8,1,0
mccab002,1459,38469,11408,710,92,81,77,0,861,288,0
mccaj001,410,10904,3093,183,11,31,22,0,182,106,0
mccaj108,12,354,64,7,1,1,1,9,5,5,0
mccal102,0,0,224,66,8,2,10,0,0,0,0
mccar101,1,29,5,1,0,0,0,0,1,1,0
mccat101,1300,34818,8206,588,91,73,132,203,636,333,14
mccll001,17,634,157,15,2,2,3,0,15,5,0
mccod101,1,51,10,2,0,0,0,0,0,1,0
mccrf101,0,0,4,0,0,0,0,0,0,0,0
mccuc101,47,1312,3953,477,72,64,37,8,18,6,0
mccuh101,0,0,987,171,36,22,13,0,0,0,0
mcdoj101,0,0,126,17,7,5,2,0,0,0,0
mcdok001,1,45,14,2,0,0,0,0,1,0,0
mcfao101,68,1926,419,45,7,6,10,35,35,16,5
mcgae101,0,0,71,8,2,1,2,0,0,0,0
mcgir001,8,186,40,3,0,2,6,0,7,2,0
mcgrt002,91,2535,592,56,10,4,6,0,99,43,0
mcgub001,15,433,91,9,0,0,4,0,12,3,0
mcgur002,10,240,72,3,1,0,1,0,13,2,0
mcint001,9,313,64,7,2,0,3,0,11,2,0
mckac001,14,420,81,12,0,1,3,0,6,5,0
mckem001,222,6099,1607,114,21,4,10,0,199,43,0
mckew001,3,103,26,0,0,0,1,0,7,0,0
mcknj001,0,3,0,0,0,0,0,0,0,0,0
mcmuh101,0,0,121,22,8,3,6,0,0,0,0
mcnaj001,23,647,143,8,1,1,1,0,11,5,0
mcnej101,369,10264,2337,248,35,34,46,88,192,123,17
mcnen101,0,0,8,1,2,0,0,0,0,0,0
mejif001,10,290,107,4,0,0,4,0,3,1,0
melha001,152,4328,992,71,4,6,16,0,100,40,0
melum001,105,2809,728,40,12,7,5,0,78,27,0
melvb001,517,13829,2915,247,23,36,25,0,373,176,0
merca101,1,30,3,1,0,0,0,0,1,1,0
merch001,38,1239,215,22,4,4,5,0,31,13,0
merco001,177,4761,1141,91,9,12,16,0,149,43,0
merco002,0,3,0,0,0,0,0,0,0,0,0
merum001,87,2397,475,32,10,3,12,0,88,19,0
mesod001,370,9892,2927,194,16,22,30,0,228,72,0
meyes101,1,51,11,0,0,0,1,0,1,0,0
millb115,0,0,0,0,0,0,0,0,0,0,0
millc001,158,4304,1098,99,8,14,14,0,80,38,0
milld001,52,1660,348,36,5,2,12,0,40,24,0
milld002,892,23648,6696,510,35,56,65,0,453,263,0
millh101,0,0,11,2,0,0,0,0,0,0,0
milln101,0,12,2,0,0,0,0,0,0,0,0
millo103,0,0,1195,286,39,26,36,0,0,0,0
millw102,0,0,704,122,29,14,8,0,0,0,0
milnb101,2,44,4,0,1,0,1,0,2,0,0
mirad001,406,11092,2719,229,23,33,74,0,343,134,0
mittg101,687,18710,4289,434,64,54,58,25,404,268,0
mizej001,78,2067,500,48,12,6,16,0,67,28,0
moelc001,396,10668,3024,190,22,15,18,0,246,78,0
molib001,1234,32235,8122,659,52,70,78,0,680,310,0
molig002,15,408,96,5,0,0,2,0,8,1,0
molii001,41,1139,264,20,2,2,3,0,45,11,0
molij001,771,20481,6033,441,39,50,63,0,390,227,0
moliy001,1775,46165,12518,942,71,115,82,0,491,337,0
monej001,9,264,64,0,0,0,0,0,4,0,0
monta102,0,0,34,6,1,0,0,0,0,0,0
montb101,311,8572,1632,136,31,21,23,0,203,99,0
montj003,83,2205,628,34,4,3,10,0,81,13,0
montl002,6,168,44,4,1,1,1,0,6,3,0
montm001,997,26637,7516,560,84,54,52,0,555,197,0
moora001,78,2180,540,41,7,3,9,0,55,14,0
moorb103,0,0,87,36,7,2,2,0,0,0,0
moorc001,742,20239,3723,435,86,45,67,0,487,272,0
moord101,0,0,175,26,8,4,7,0,0,0,0
moorj102,16,436,128,6,2,1,1,8,6,4,0
moorr103,0,0,27,5,4,0,0,0,0,0,0
moraj001,11,418,77,8,1,0,7,0,25,4,0
moraj002,41,1147,300,19,8,0,8,0,31,16,0
moraw001,3,78,22,2,0,1,0,0,0,2,0
mordm001,0,27,10,0,0,0,0,0,4,0,0
morek001,137,3708,796,77,19,12,10,0,177,66,0
mortc001,4,130,26,5,0,0,0,0,5,1,0
mosej101,287,7750,1782,146,31,20,35,13,149,86,0
mosqj001,8,226,59,2,0,0,3,0,3,1,0
mossc101,0,0,38,5,3,0,2,0,0,0,0
mossl101,120,3444,2612,279,64,52,45,30,46,19,3
motam101,0,6,2,0,0,0,2,0,0,0,0
muelr101,0,0,3095,503,43,66,32,0,0,0,0
munon001,0,12,6,0,0,0,0,0,0,0,0
munse001,66,1757,412,24,3,4,6,0,41,11,0
munst101,1265,33326,6253,742,127,82,93,9,533,427,1
murpd001,77,2075,424,52,17,4,31,0,91,32,0
murpj001,138,4071,1254,91,11,4,15,0,70,27,0
murpt002,44,1188,400,24,8,2,5,0,27,10,0
murrr102,18,455,855,129,13,21,20,4,9,7,0
myatg101,0,0,2061,419,66,47,43,0,0,0,0
myerg001,737,19283,4404,357,55,43,41,0,505,230,0
nahob001,218,5920,1072,121,21,15,14,0,200,75,0
napom001,485,13046,3377,243,38,23,29,0,328,106,0
narah101,238,6590,1325,93,13,14,25,47,98,53,6
narrj001,197,5615,998,78,12,13,21,0,150,66,0
narrs101,0,0,15,1,0,0,0,0,0,0,0
narvo001,177,4712,1344,87,15,5,19,0,141,39,0
natab001,79,2199,538,45,8,7,14,0,65,28,0
natop101,0,0,13,0,0,0,2,0,0,0,0
navad001,820,21989,6113,422,67,54,50,0,476,186,0
neemc101,288,7665,1714,150,22,28,29,65,134,76,8
nelsj101,35,867,202,16,5,2,10,0,30,16,0
nevip001,88,2361,583,48,6,3,25,0,71,27,0
newmj001,396,10846,2011,222,44,26,20,0,246,160,0
niarg101,4,123,1133,115,15,21,15,0,2,0,0
nichb001,26,744,202,12,0,4,2,0,13,2,0
nichc001,46,1269,282,39,5,8,8,0,34,24,0
nickm001,53,1417,412,27,3,3,12,0,30,10,0
nicos001,260,6989,1475,123,21,14,13,0,209,71,0
nidot001,26,710,236,8,4,1,1,0,21,5,0
niebc101,0,0,87,26,4,1,5,0,0,0,0
nieta001,32,899,201,14,1,0,6,0,25,4,0
niett001,201,5255,1080,87,11,11,20,0,175,42,0
nievw001,308,8359,2186,167,28,19,20,0,202,64,0
nilsd001,287,7217,1515,107,19,10,13,0,242,71,0
nixor101,611,16519,3708,238,47,31,66,160,262,107,6
noblr101,0,0,300,22,7,3,9,0,0,0,0
nokem001,598,15770,3422,262,38,34,48,0,492,193,0
nolaj001,356,9420,1940,148,34,20,36,0,381,101,0
nordw101,16,451,67,12,9,1,8,0,19,10,0
norrd001,498,13523,4004,248,36,21,45,0,322,108,0
nottj001,6,170,54,5,2,0,0,0,5,1,0
novor101,0,0,82,9,4,0,3,0,0,0,0
nunal101,0,0,286,58,15,4,5,0,0,0,0
oatej101,423,11863,2416,277,36,33,43,0,251,153,0
oberm001,124,3506,672,76,12,10,7,0,94,65,0
obric001,675,17915,4441,396,47,57,21,0,453,265,0
obrim101,0,0,13,7,2,0,1,0,0,0,0
ock-w101,0,0,3,0,0,0,0,0,0,0,0
oconj103,0,0,8,2,0,0,0,0,0,0,0
odeak101,0,0,2450,336,48,44,40,0,0,0,0
odonh101,0,0,16,3,0,1,1,0,0,0,0
ofarb101,0,0,4170,942,125,97,50,0,0,0,0
ogrob101,0,0,701,82,11,8,16,0,0,0,0
ohalg001,0,3,2,0,0,0,0,0,0,0,0
ohlmm001,3,104,29,2,2,0,0,0,2,0,0
ojedm001,116,3292,849,53,9,6,11,0,59,16,0
okril101,0,0,91,20,4,4,2,0,0,0,0
oldib101,54,1711,422,40,8,12,5,36,40,20,0
olivg101,325,8533,2057,172,34,30,54,118,159,83,5
olivj001,934,24608,6059,451,71,59,77,0,670,303,0
olivm001,953,25411,6675,501,84,69,100,0,459,234,0
olsog002,349,9391,2193,169,18,24,17,0,297,128,0
oneih102,0,0,0,0,0,0,0,0,0,0,0
oneim102,0,0,2020,670,77,47,38,0,0,0,0
oneis101,0,0,2899,692,95,70,69,0,0,0,0
onisr101,0,0,1,0,1,0,0,0,0,0,0
oquej001,0,3,1,0,0,0,0,0,0,0,0
orsij101,253,6861,1567,108,31,19,24,59,105,45,3
ortih001,77,2049,436,46,5,2,1,0,44,24,0
ortij001,543,14746,2934,324,45,40,50,0,455,211,0
ortoj001,131,3474,782,85,13,14,4,0,77,51,0
osbob101,0,6,0,0,0,0,0,0,1,0,0
osikk001,266,7295,1781,153,17,19,22,0,190,79,0
ott-e101,451,12342,2482,259,46,26,37,0,309,172,0
ouelp001,6,168,42,3,0,0,0,0,7,2,0
outec101,0,0,98,11,2,1,1,0,0,0,0
owenj001,91,2469,554,55,17,8,11,0,63,40,0
owenj102,0,0,8,1,1,0,0,0,0,0,0
owenl001,116,3172,722,69,16,9,7,0,87,43,0
owenm101,16,516,4527,581,96,93,73,3,5,4,1
pachj001,49,1339,348,20,5,3,7,0,30,4,0
paddt101,0,0,1482,222,41,19,18,0,0,0,0
padgd101,0,0,835,92,37,13,27,0,0,0,0
paepd101,35,1002,218,21,4,2,3,1,24,12,0
pagaj101,0,3,0,0,0,0,0,0,0,0,0
paglj101,705,18328,4139,302,41,50,54,175,293,141,7
pagnm001,27,732,169,14,2,2,2,0,25,8,0
pagnt001,748,20017,4124,389,38,47,32,0,496,293,0
palar001,17,576,154,8,1,1,1,0,14,4,0
palmj101,0,0,44,4,2,2,1,0,0,0,0
pankj001,0,3,0,0,0,0,0,0,0,0,0
pappe001,72,1966,409,37,10,6,4,0,56,22,0
parda001,35,936,206,12,4,1,1,0,37,7,0
parem001,365,9671,2262,196,25,28,25,0,255,133,0
parit101,0,0,17,7,1,0,2,0,0,0,0
parkd002,32,876,165,20,2,4,2,0,29,12,0
parkd101,0,0,1,0,1,0,0,0,0,0,0
parrl001,1715,45607,9647,980,94,133,192,0,1043,655,0
parsd101,0,0,443,75,11,8,7,0,0,0,0
partr101,0,0,1318,157,27,28,23,0,0,0,0
pasej101,0,0,87,14,1,3,1,0,0,0,0
paslk101,42,1071,196,20,3,0,3,0,29,7,0
pattb101,0,0,4,3,0,1,1,0,0,0,0
patth101,0,0,0,0,0,0,0,0,0,0,0
pattt101,0,15,4,2,0,1,0,1,1,1,0
paulj001,207,5758,1430,113,16,20,15,0,157,55,0
paulr001,476,12975,3383,273,35,24,36,0,320,132,0
pavld101,236,6369,1593,123,30,20,31,76,175,58,3
pawet101,0,0,0,0,0,0,1,0,0,0,0
peacj101,0,0,1863,220,36,37,29,0,0,0,0
pecob001,0,3,0,0,0,0,0,0,0,0,0
pedel101,0,0,26,5,0,1,0,0,0,0,0
pedrj001,6,170,32,4,1,0,0,0,7,2,0
pellk001,2,99,25,0,0,0,1,0,2,0,0
penaa002,52,1408,384,39,3,5,7,0,37,19,0
penab002,364,10163,2911,162,16,27,25,0,281,108,0
penaf001,45,1416,400,18,2,1,3,0,20,6,0
penat001,1779,47916,11212,1045,117,156,105,0,1224,656,0
perea002,0,6,1,0,0,0,0,0,0,0,0
perec003,177,4698,1330,133,12,10,16,0,90,56,0
peree002,400,10918,2789,201,26,34,24,0,265,110,0
perem003,0,6,2,0,0,0,0,0,0,0,0
perem005,22,555,175,18,0,0,0,0,12,5,0
peren001,0,0,0,0,0,0,0,0,0,0,0
perer003,260,6839,2463,154,16,16,16,0,96,61,0
peres002,856,22281,6216,499,36,43,29,0,341,186,0
perkc101,0,0,3539,912,101,88,75,0,0,0,0
peteb103,0,0,0,0,0,0,0,0,0,0,0
peteh101,49,1342,244,36,7,7,4,0,15,17,0
petej102,0,0,234,48,17,3,6,0,0,0,0
petrb001,143,3845,918,58,16,13,22,0,104,25,0
petrg001,427,11452,2744,210,39,38,95,0,353,167,0
pevem001,11,279,58,7,1,0,1,0,16,4,0
pfeib101,2,66,8,2,1,1,3,0,2,2,0
pfisg101,0,0,0,0,0,0,0,0,0,0,0
phegj001,226,5964,1674,151,15,13,32,0,109,54,0
phelb101,0,0,2251,291,69,43,46,0,0,0,0
phelj001,6,171,38,3,0,0,0,0,8,2,0
phile102,0,0,989,129,23,23,14,0,0,0,0
philj003,234,6343,1589,93,10,12,9,0,179,47,0
philk001,23,630,168,14,4,1,2,0,26,9,0
philp001,50,1475,350,31,4,4,5,0,26,12,0
piazm001,1607,40665,10844,733,124,88,102,0,1400,423,0
piciv101,0,0,2846,631,101,56,73,0,0,0,0
picku101,0,0,1,0,1,0,0,0,0,0,0
piera001,1832,49006,12600,823,68,101,102,0,1081,350,0
pignj101,205,5665,1361,105,15,22,18,72,60,49,5
pinam001,187,5050,1583,113,11,14,6,0,81,47,0
pintj001,44,1156,285,12,7,1,4,0,26,5,0
plase101,6,180,30,2,0,0,1,8,2,0,0
plawk001,192,5295,1667,98,9,5,5,0,142,43,0
plumb101,247,6966,1283,92,23,16,18,0,146,44,0
pocob001,342,9191,1938,221,39,21,53,0,387,134,0
polah101,0,0,191,13,9,2,2,0,0,0,0
portd001,1430,37825,6756,754,134,104,132,0,902,553,0
portj101,66,1790,339,38,4,7,22,17,30,21,1
posaj001,1450,38631,10016,696,90,81,142,0,984,387,0
poseb001,865,22660,6704,463,39,47,24,0,440,218,0
powel001,89,2443,649,36,11,7,3,0,44,29,0
powep102,1,72,18,3,1,1,1,0,4,3,0
pramj101,0,0,658,71,20,9,20,0,0,0,0
pratt001,415,11839,3111,158,23,33,38,0,256,94,0
pricj102,156,4136,1064,55,17,10,13,38,98,31,0
print001,332,9600,2267,214,19,25,26,0,228,118,0
pruej101,0,0,19,2,0,1,0,0,0,0,0
pruir101,48,1495,256,30,4,6,3,0,67,17,0
pujol001,250,6734,1450,151,21,11,63,0,262,76,0
putme101,5,240,44,4,0,0,2,0,5,2,0
pybuj101,0,3,0,0,0,0,0,0,0,0,0
pytlf101,0,0,2958,395,29,64,25,0,0,0,0
quinh001,393,10323,2835,244,30,36,21,0,192,95,0
quirg001,90,2534,575,46,6,7,10,0,65,23,0
quirj001,398,10943,2344,235,48,26,36,0,322,174,0
rabbj001,31,827,184,14,7,2,2,0,39,8,0
rabem001,72,1972,425,32,6,6,6,0,42,16,0
raded101,638,17454,3391,285,63,41,49,0,443,195,0
ramim003,30,808,210,12,3,2,2,0,36,8,0
ramoj001,5,123,23,1,0,0,1,0,3,0,0
ramor001,66,1889,390,50,9,3,5,0,71,39,0
ramow001,708,18816,5572,395,37,24,41,0,266,123,0
randd101,37,1042,237,19,6,5,4,3,10,4,0
randl101,0,18,1,1,0,0,0,0,3,1,0
ranem101,112,3143,686,67,14,8,28,42,72,27,3
ransj101,22,606,131,16,3,1,0,0,36,6,0
rarib101,0,0,390,101,10,8,5,0,0,0,0
ratlp101,76,1935,384,29,7,6,3,2,34,13,0
rayff001,90,2489,525,53,7,5,7,0,76,28,0
readr002,1,33,12,1,0,0,1,0,1,0,0
realj001,483,12739,3711,262,30,32,36,0,185,91,0
reboj001,0,3,0,0,0,0,0,0,1,0,0
recka001,144,4014,1157,70,13,11,11,0,96,33,0
redmj101,0,0,39,5,1,3,2,0,0,0,0
redmm001,606,16085,3999,312,18,53,23,0,382,177,0
reecb101,3,93,16,2,1,1,2,0,3,0,0
reedj001,850,23063,5455,415,73,59,54,0,727,301,0
regot101,0,0,92,24,3,3,1,0,0,0,0
reibf101,0,0,70,7,2,1,2,0,0,0,0
reisb102,0,0,1,0,1,0,0,0,0,0,0
renst101,0,0,535,93,23,16,16,0,0,0,0
retzk101,189,4945,935,97,18,13,17,48,78,48,6
reyeg001,74,2131,473,75,15,7,15,0,48,50,0
reyej002,0,15,7,0,0,0,0,0,0,0,0
reynr002,104,2857,628,57,16,8,5,0,126,47,0
reynt101,0,10,1,0,0,0,1,0,1,0,0
riced101,270,6850,5353,537,75,72,65,57,65,36,6
riceh101,0,0,0,0,0,0,0,0,0,0,0
ricel101,0,0,119,8,3,1,1,0,0,0,0
richk001,1,45,13,0,0,0,0,0,2,0,0
richp101,0,0,2103,302,31,49,25,0,0,0,0
rickd102,35,1029,236,15,3,0,5,7,28,13,0
riddj101,0,0,230,51,5,12,5,0,0,0,0
riebh101,0,0,155,14,1,3,6,0,0,0,0
riggs001,52,1415,384,11,8,1,4,0,29,4,0
rinkb101,0,0,0,0,0,0,0,0,0,0,0
rivem003,142,3893,1065,90,14,7,17,0,112,37,0
river003,405,10818,3430,260,32,30,36,0,218,126,0
roarm101,140,3869,863,62,12,7,15,35,39,32,5
robed102,101,2768,543,56,13,3,14,0,71,43,0
robej103,45,1200,215,20,6,6,3,17,19,8,2
robia101,0,0,2259,271,25,31,36,0,0,0,0
robib102,31,741,188,16,8,3,2,0,19,14,0
robic002,1,30,8,0,0,0,0,0,0,0,0
robls101,5,210,43,1,0,0,2,0,1,0,0
rodgb102,815,22146,4750,472,63,74,66,262,283,215,27
rodre003,2,51,20,1,0,0,0,0,3,0,0
rodre101,658,17396,3713,360,45,37,59,31,334,235,0
rodrg001,26,730,189,17,4,1,4,0,12,5,0
